SMILES,H,Cl,C,N,O,Br,B,I,S,F,s,c,o,n
CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,0,0,12,3,2,0,0,0,0,0,0,12,0,4
O=C(CCCCCCNC(=O)c1cnc(N(c2ccccc2)c2ccccc2)nc1)NO,0,0,8,3,3,0,0,0,0,0,0,16,0,2
CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,0,0,4,2,2,0,0,0,1,3,1,19,0,3
C[C@@H]1O[C@@H](O[C@@H]2C=C3CC[C@@H]4[C@H](CC[C@]5(C)[C@@H](c6ccc(=O)oc6)CC[C@]45O)[C@@]3(C)CC2)[C@H](O)[C@H](O)[C@H]1O,9,0,25,0,7,0,0,0,0,0,0,5,1,0
Nc1ncnc2c1c(I)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,4,0,5,1,4,0,0,1,0,0,0,6,0,3
C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)N1,6,0,24,1,5,0,0,0,0,0,1,3,0,1
CC(C)C[C@H](NC(=O)[C@@H](NC(=O)c1cccc(-c2ccccc2)n1)[C@@H](C)O)B(O)O,3,0,10,2,5,0,1,0,0,0,0,11,0,1
CCOc1cc(C(C)(C)C)ccc1C1=N[C@@](C)(c2ccc(Cl)cc2)[C@@](C)(c2ccc(Cl)cc2)N1C(=O)N1CCN(CCCS(C)(=O)=O)CC1,0,2,20,4,4,0,0,0,1,0,0,18,0,0
O=C(O)[C@]1(Cc2cccc(Nc3nccs3)n2)CC[C@@H](Oc2cccc(Cl)c2F)CC1,1,1,8,1,3,0,0,0,0,1,1,14,0,2
CN(C)Cc1ccc(S(=O)(=O)n2ccc(/C=C/C(=O)NO)c2)cc1,0,0,6,2,4,0,0,0,1,0,0,10,0,1
O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(Cl)ccc1O,0,1,3,1,2,0,0,0,0,6,0,12,0,0
CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,2,1,6,1,4,0,0,0,0,0,0,15,1,0
O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cc(F)cc13)CN(C(=O)N1CCCCC1)CC2,0,0,13,3,3,0,0,0,0,1,0,15,0,3
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,1,0,8,4,5,0,0,0,0,0,0,12,0,4
c1ccc2c(-c3cnn4cc(-c5ccc(N6CCNCC6)cc5)cnc34)ccnc2c1,0,0,4,2,0,0,0,0,0,0,0,21,0,4
C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CC[C@@H](O)C(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,6,0,27,0,3,0,0,0,0,0,0,0,0,0
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,1,0,9,1,6,0,0,0,0,0,0,13,0,0
Nc1nc(Nc2ccc3c(c2)CC[C@@H](N2CCCC2)CC3)nn1-c1cc2c(nn1)-c1ccccc1CCC2,1,0,12,3,0,0,0,0,0,0,0,18,0,5
Cc1onc(C(=O)N2CCN(C(c3ccc(Cl)cc3)c3ccc(Cl)cc3)CC2)c1[N+](=O)[O-],0,2,7,3,3,0,0,0,0,0,0,15,1,1
CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1,0,0,11,2,1,0,0,0,1,0,1,6,1,2
OCCCNc1cc(-c2ccnc(Nc3cccc(Cl)c3)n2)ccn1,0,1,3,2,1,0,0,0,0,0,0,15,0,3
COc1ccc2cc(-c3[nH]c(-c4ccc([S+](C)[O-])cc4)nc3-c3ccncc3)ccc2c1,1,0,2,0,2,0,0,0,1,0,0,24,0,3
O=C(NOC[C@H](O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F,1,0,4,2,4,0,0,1,0,3,0,12,0,0
NNC(=O)c1ccncc1,0,0,1,2,1,0,0,0,0,0,0,5,0,1
CCn1cc(-c2ccnc3[nH]c(-c4cccc(CN(C)C)c4)cc23)c(-c2ccc(NC(=O)N(C)C)cc2)n1,1,0,8,3,1,0,0,0,0,0,0,22,0,4
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1,0,0,8,4,1,0,0,0,0,0,1,20,0,2
CN1CCN(CCOc2cc(OC3CCOCC3)c3c(Nc4c(Cl)ccc5c4OCO5)ncnc3c2)CC1,0,1,13,3,5,0,0,0,0,0,0,14,0,2
c1cc(OCCN2CCCCC2)cc(-c2[nH]nc3ccc(-c4nc[nH]n4)cc23)c1,2,0,7,1,1,0,0,0,0,0,0,15,0,5
Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,3,0,5,1,4,0,0,0,0,0,0,3,0,3
CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,1,2,11,2,4,0,0,0,0,0,0,15,0,2
NC(O)=NO,0,0,1,2,2,0,0,0,0,0,0,0,0,0
COc1ccc(-c2cc3nccn3c(Nc3ncccc3C(N)=O)n2)cc1OC,0,0,3,2,3,0,0,0,0,0,0,17,0,4
CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,1,1,23,5,6,0,0,0,3,3,0,24,0,0
O=C(CSc1nc2c(c(=O)n1-c1ccccc1)SCC2)Nc1ccc(-c2ccccc2)cn1,0,0,4,1,2,0,0,0,2,0,0,21,0,3
COc1cc2ncn(-c3cc(OCc4ccccc4C(F)(F)F)c(C(N)=O)s3)c2cc1OC,0,0,5,1,4,0,0,0,0,3,1,17,0,2
C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,4,0,21,0,5,0,0,0,0,0,0,0,0,0
COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)NC(=O)C(C)(C)O4)n2)cc(OC)c1OC,0,0,7,3,5,0,0,0,0,1,0,15,0,3
CC(C)C[C@@H](C(=O)N[C@H](C(=O)OC1CCCC1)c1ccccc1)[C@H](O)C(=O)NO,3,0,15,2,6,0,0,0,0,0,0,6,0,0
COc1cccc(Nc2c(C(N)=O)cnc3c(C)cc(S(=O)(=O)c4cccc(C(=O)N(C)C)c4)cc23)c1,0,0,6,3,5,0,0,0,1,0,0,21,0,1
Cn1cnc(-c2cc3nccc(Oc4ccc(NC(=S)NC(=O)Cc5ccccc5)cc4F)c3s2)c1,0,0,4,2,2,0,0,0,1,1,1,22,0,3
Cc1cc(C(=O)NOCCO)c(Nc2ccc(I)cc2F)n(C)c1=O,0,0,5,2,4,0,0,1,0,1,0,11,0,1
CN1CCN(c2ccc(Nc3cc(-c4cccc(-n5ccc6cc(C7CC7)cc(F)c6c5=O)c4CO)cn(C)c3=O)nc2)CC1,0,0,10,3,3,0,0,0,0,1,0,25,0,3
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,0,0,11,1,2,0,0,2,0,0,0,14,1,0
O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)NO,0,0,3,2,4,0,0,0,1,0,0,12,0,0
COc1cc(OC)c2c(=O)[nH]c(-c3cc(C)c(OCCO)c(C)c3)nc2c1,1,0,6,0,5,0,0,0,0,0,0,14,0,2
Cn1c2ccccc2c2c3c(c4c5ccccc5n(CCC#N)c4c21)CNC3=O,0,0,6,2,1,0,0,0,0,0,0,18,0,2
O=C1c2cccc3cccc(c23)C(=O)N1CCCCCC(O)=NO,0,0,8,2,4,0,0,0,0,0,0,10,0,0
COc1ccc(S(=O)(=O)N(C(C)=O)c2ccccc2/C=C/c2cc[n+]([O-])cc2)cc1,0,0,5,1,5,0,0,0,1,0,0,17,0,1
Cc1cccc(-c2[nH]c(C(C)(C)C)nc2-c2ccc3nccnc3c2)n1,1,0,5,0,0,0,0,0,0,0,0,16,0,5
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCOC)cc3)ncc2F)c1,0,0,6,3,3,0,0,0,0,1,0,16,0,2
CCOc1ccn(-c2ccc(F)cc2)c(=O)c1C(=O)Nc1ccc(Oc2ccnc(N)c2Cl)c(F)c1,0,1,3,2,4,0,0,0,0,2,0,22,0,2
COc1cc(CCc2cc(NC(=O)c3ccc(N4C[C@@H](C)N[C@@H](C)C4)cc3)[nH]n2)cc(OC)c1,3,0,11,3,3,0,0,0,0,0,0,15,0,2
COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1,0,0,13,3,6,0,0,0,0,2,0,21,0,1
COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC,0,1,4,2,4,0,0,0,0,0,0,18,1,2
CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1,0,0,11,3,3,0,0,0,0,0,1,18,1,3
O=C(c1ccc(Nc2nccc(-c3cc4ccccc4s3)n2)cc1)N1CCC(N2CCCC2)CC1,0,0,10,3,1,0,0,0,0,0,1,18,0,2
CCc1ccc(OCc2ccccc2C(=O)Nc2ccc3nc(C)cc(N)c3c2)cc1,0,0,5,2,2,0,0,0,0,0,0,21,0,1
CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,0,1,5,1,0,0,0,0,0,0,0,11,0,1
O=C1NC(=O)[C@@H](c2cn3c4c(cccc24)CCC3)[C@@H]1c1c[nH]c2ccccc12,3,0,7,1,2,0,0,0,0,0,0,16,0,2
CNC(=O)c1ccccc1Nc1nc(Nc2ccc3c(c2OC)CCC[C@H](N2CCN(CCO)CC2)C3)ncc1Cl,1,1,14,5,3,0,0,0,0,0,0,16,0,2
NC(=O)Nc1sc(-c2ccc(F)cc2)cc1C(N)=O,0,0,2,3,2,0,0,0,0,1,1,10,0,0
Cc1ccc(NC(=O)c2cccc(C(C)(C)C#N)c2)cc1Nc1ccc2ncn(C)c(=O)c2c1,0,0,7,3,2,0,0,0,0,0,0,20,0,2
O=C(Nc1ccc(OC(F)(F)F)cc1)c1sccc1NCc1ccnc2ccccc12,0,0,3,2,2,0,0,0,0,3,1,19,0,1
CC(=O)N1CCN(CCOc2ccc(C3CCN(C4=Nn5c(nnc5C(F)(F)F)CC4)CC3)cc2)CC1,0,0,17,4,2,0,0,0,0,3,0,8,0,3
Fc1ccc(C(OCCN2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1,0,0,10,2,1,0,0,0,0,2,0,18,0,0
CC(=O)NCC(=O)N1[C@@H]2CC[C@H]1c1ccc(Nc3ncc(C(F)(F)F)c(NC4CCC4)n3)cc12,2,0,13,4,2,0,0,0,0,3,0,10,0,2
CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B(O)O,1,2,8,2,4,0,1,0,0,0,0,6,0,0
CN1CCN(c2ccc3[nH]c(-c4c(N)c5c(F)cccc5[nH]c4=O)nc3c2)CC1,2,0,5,3,1,0,0,0,0,1,0,16,0,3
COc1cc(-c2cc(-c3cccc(O)c3)cnc2N)cc(OC)c1OC,0,0,3,1,4,0,0,0,0,0,0,17,0,1
CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,3,0,11,2,4,0,0,0,0,0,0,24,0,2
COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n([C@H](C)c3ccccn3)c12,2,0,5,0,2,0,0,0,0,0,0,18,1,5
CC1=NN(c2ccc(C(=O)O)cc2)C(=O)/C1=C/c1ccc(-c2cc(C)c(C)cc2[N+](=O)[O-])o1,0,0,8,3,5,0,0,0,0,0,0,16,1,0
NC(=O)c1cnc(N[C@@H]2CCCC[C@@H]2N)nc1Nc1cccc(-n2nccn2)c1,2,0,7,4,1,0,0,0,0,0,0,12,0,5
Clc1ccc(C2(c3ccc(-c4cn[nH]c4)cc3)CCNCC2)cc1,1,1,5,1,0,0,0,0,0,0,0,15,0,2
CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,1,0,12,3,2,0,0,0,0,1,0,10,0,1
OC1(c2ccc(Cl)c(C(F)(F)F)c2)CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,0,1,10,1,1,0,0,0,0,5,0,18,0,0
Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NC[C@@H](O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,3,1,7,2,3,0,0,0,0,0,0,18,0,3
C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,0,0,19,1,0,0,0,0,0,0,0,0,0,0
CC(C)CCN1c2nc(Nc3cc(F)c(O)c(F)c3)ncc2N(C)C(=O)C1C,0,0,9,3,2,0,0,0,0,2,0,10,0,2
O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2ccccc2)CC1,0,0,13,2,2,0,0,0,0,0,0,11,0,1
FC(F)(F)c1ccc(/C=C/c2nc(COc3ccc(CCCCn4ccnn4)cc3)co2)cc1,0,0,8,0,1,0,0,0,0,3,0,17,1,4
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,5,0,15,1,11,0,0,0,0,0,0,12,0,0
Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0,0,7,3,4,0,0,0,0,0,0,6,0,0
C=C[C@@]1(C)CC(=O)[C@]2(O)[C@@]3(C)[C@@H](O)CCC(C)(C)[C@@H]3[C@H](O)[C@H](OC(C)=O)[C@@]2(C)O1,4,0,22,0,7,0,0,0,0,0,0,0,0,0
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,0,0,7,2,2,0,0,0,0,0,0,12,0,0
CNCCCC1c2ccccc2C=Cc2ccccc21,0,0,7,1,0,0,0,0,0,0,0,12,0,0
O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,0,0,17,3,2,0,0,0,0,0,0,4,0,2
CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,0,1,7,2,0,0,0,0,0,0,0,12,0,0
Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,1,0,8,3,2,0,0,0,0,0,0,10,0,2
CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,0,1,11,2,2,0,0,0,0,0,0,14,0,3
CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(Cc4ccccc4-c4ccc(Cl)cc4)CC3)cc2)cc1[N+](=O)[O-],1,1,12,6,5,0,0,0,2,0,0,30,0,0
Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,0,0,5,1,1,0,0,0,0,0,0,25,0,4
Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,0,0,4,2,1,0,0,0,0,3,0,24,0,5
CNC(=O)c1ccc(Nc2ncc(C(F)(F)F)c(NCc3nccnc3N(C)S(C)(=O)=O)n2)cc1,0,0,6,4,3,0,0,0,1,3,0,14,0,4
COc1ccc(-c2cc3c(C)nc(N)nc3n([C@H]3CC[C@H](OCCO)CC3)c2=O)cn1,2,0,10,1,4,0,0,0,0,0,0,12,0,4
O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1,0,0,9,2,3,0,0,0,1,0,0,12,0,3
COc1ccc(CCc2nc3cc(-c4c(C)noc4C)ccc3n2C[C@H](C)N2CCOCC2)cc1Cl,1,1,12,1,2,0,0,0,0,0,0,16,1,3
O=C(Nc1cccc(Nc2ncc(Br)c(NCCc3c[nH]cn3)n2)c1)N1CCCC1,1,0,7,4,1,1,0,0,0,0,0,13,0,4
Nc1nc2c(cnn2CCc2ccccc2)c2nc(-c3ccco3)nn12,0,0,2,1,0,0,0,0,0,0,0,16,1,6
N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,2,0,8,1,0,0,0,0,0,0,0,9,0,5
Cc1cc(-c2nc(-c3ccc(OC(F)(F)F)cc3)no2)nn1Cc1ccnc(N2CCN(C3CC3)CC2)c1,0,0,10,2,1,0,0,0,0,3,0,16,1,5
O=C(O)c1ccc2cc(-c3ccc(O)c(C45CC6CC(CC(C6)C4)C5)c3)ccc2c1,0,0,11,0,3,0,0,0,0,0,0,16,0,0
COc1ccc(C(=O)CC2(O)C(=O)Nc3c(Cl)ccc(Cl)c32)cc1,0,2,5,1,4,0,0,0,0,0,0,12,0,0
CC(C)c1cc(-c2n[nH]c(=O)n2-c2ccc3c(ccn3C)c2)c(O)cc1O,1,0,4,0,3,0,0,0,0,0,0,16,0,4
CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1,1,0,5,2,2,0,0,0,0,0,0,21,0,4
COC[C@H](NC(=O)c1cnc(C)s1)C(=O)N[C@@H](COC)C(=O)N[C@@H](Cc1ccccc1)C(=O)[C@@]1(C)CO1,3,0,16,3,7,0,0,0,0,0,1,9,0,1
Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,0,1,8,1,0,0,0,0,0,0,0,11,0,1
O=C(O)C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1,2,0,10,0,4,0,0,0,0,1,0,15,0,1
COc1cccc(OC)c1-c1ccc(C[C@H](NC(=O)c2c(Cl)cccc2Cl)C(=O)O)cc1,1,2,6,1,5,0,0,0,0,0,0,18,0,0
CC(C)c1cc(C(=O)N2Cc3ccc(CN4CCN(C)CC4)cc3C2)c(O)cc1O,0,0,12,3,3,0,0,0,0,0,0,12,0,0
Cc1cnc(-c2cnc(NCCNc3ccc(C#N)cn3)nc2-c2ccc(Cl)cc2Cl)[nH]1,1,2,4,3,0,0,0,0,0,0,0,18,0,5
Cc1nc(C#Cc2ccnc(Cl)c2)c(C)n1-c1ccc(F)cc1,0,1,4,0,0,0,0,0,0,1,0,14,0,3
NCCCCN(Cc1nc2ccccc2[nH]1)[C@H]1CCCc2cccnc21,2,0,9,2,0,0,0,0,0,0,0,12,0,3
CCCCOc1c(C(=O)c2c(F)cc(C)cc2F)cnc2[nH]ncc12,1,0,6,0,2,0,0,0,0,2,0,12,0,3
Cn1cncc1[C@@](N)(c1ccc(Cl)cc1)c1ccc2c(c1)c(-c1cccc(Cl)c1)cc(=O)n2C,0,2,3,1,1,0,0,0,0,0,0,24,0,3
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,0,0,8,4,1,0,0,0,0,0,0,21,0,3
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,0,0,9,1,5,0,0,0,0,0,0,14,0,2
CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,1,1,9,1,1,0,0,0,0,0,0,12,0,0
Cc1nc2c(-c3cnc(N)nc3)nc(N3CCOCC3)nc2n1C(C)C,0,0,8,2,1,0,0,0,0,0,0,9,0,6
COc1cc2c(cc1OC(C)C)[C@H](c1ccc(Cl)cc1)N(c1ccc(N(C)C[C@H]3CC[C@H](N4CCN(C)C(=O)C4)CC3)cc1)C(=O)C2,3,1,20,4,4,0,0,0,0,0,0,18,0,0
Cc1cc(C(C)Nc2ccccc2)c2nc(N3CCOCC3)cc(=O)n2c1,0,0,7,2,2,0,0,0,0,0,0,14,0,2
Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,4,0,5,1,5,0,0,0,0,0,0,3,0,3
CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,2,0,11,1,5,0,0,0,0,1,0,22,0,1
COC(=O)N(C)c1c(N)nc(-c2nn(Cc3ccccc3F)c3ncccc23)nc1N,0,0,4,3,2,0,0,0,0,1,0,16,0,5
